data,valor
06/2015,"0,809"
07/2015,"0,776"
08/2015,"0,7606"
09/2015,"0,7538"
10/2015,"0,765"
11/2015,"0,7533"
12/2015,"0,7297"
01/2016,"0,7038"
02/2016,"0,7248"
03/2016,"0,7561"
04/2016,"0,7801"
05/2016,"0,773"
06/2016,"0,776"
07/2016,"0,7656"
08/2016,"0,7696"
09/2016,"0,7629"
10/2016,"0,7546"
11/2016,"0,7445"
